n_size,option,measurement_unit,mean
100000,Altair Line Plot,kilobytes,175.8505859375
100000,MatPlotlib Line Plot,kilobytes,468.4970703125
100000,Plotly Line Plot,kilobytes,224.7236328125
100000,Pygal Line Plot,kilobytes,31.4775390625
10000,Altair Line Plot,kilobytes,231.7841796875
10000,MatPlotlib Line Plot,kilobytes,754.1884765625
10000,Plotly Line Plot,kilobytes,17586.48046875
10000,Pygal Line Plot,kilobytes,19.421875
200000,Altair Line Plot,kilobytes,175.8505859375
200000,MatPlotlib Line Plot,kilobytes,468.654296875
200000,Plotly Line Plot,kilobytes,152.740234375
200000,Pygal Line Plot,kilobytes,31.4775390625
300000,Altair Line Plot,kilobytes,175.8505859375
300000,MatPlotlib Line Plot,kilobytes,468.6064453125
300000,Plotly Line Plot,kilobytes,152.3232421875
300000,Pygal Line Plot,kilobytes,31.4775390625
50000,Altair Line Plot,kilobytes,176.3017578125
50000,MatPlotlib Line Plot,kilobytes,469.755859375
50000,Plotly Line Plot,kilobytes,153.875
50000,Pygal Line Plot,kilobytes,31.4775390625
