n_size,option,measurement_unit,mean
100000,Compressed Vector - No Compression - 1000,kilobytes,8792.0751953125
100000,Compressed Vector - dac_vector - 1000,kilobytes,8812.78515625
100000,Compressed Vector - enc_vector_comma_2 - 1000,kilobytes,8811.66796875
100000,Compressed Vector - enc_vector_elias_delta - 1000,kilobytes,8837.10546875
100000,Compressed Vector - enc_vector_elias_gamma - 1000,kilobytes,8850.1796875
100000,Compressed Vector - enc_vector_fibonacci - 1000,kilobytes,8848.8671875
100000,Compressed Vector - vlc_vector_comma_2 - 1000,kilobytes,8792.0751953125
100000,Compressed Vector - vlc_vector_elias_delta - 1000,kilobytes,8811.72265625
100000,Compressed Vector - vlc_vector_elias_gamma - 1000,kilobytes,8812.83984375
100000,Compressed Vector - vlc_vector_fibonacci - 1000,kilobytes,8791.9814453125
100000,Compressed Vector Downsampler - EveryNthDownsampler - No Compression - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - dac_vector - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_comma_2 - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_elias_delta - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_elias_gamma - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_fibonacci - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_comma_2 - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_elias_delta - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_elias_gamma - 1000,kilobytes,176.2490234375
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_fibonacci - 1000,kilobytes,176.6513671875
100000,Compressed Vector Downsampler - LTTBDownsampler - No Compression - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_comma_2 - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_elias_delta - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_elias_gamma - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_fibonacci - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2 - 1000,kilobytes,174.0771484375
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_delta - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_gamma - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_fibonacci - 1000,kilobytes,176.0849609375
100000,Compressed Vector Downsampler - M4Downsampler - No Compression - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - dac_vector - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_comma_2 - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_elias_delta - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_elias_gamma - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_fibonacci - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_comma_2 - 1000,kilobytes,176.1396484375
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_elias_delta - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_elias_gamma - 1000,kilobytes,170.6474609375
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_fibonacci - 1000,kilobytes,170.6474609375
