n_size,option,measurement_unit,mean
100000,Compressed Vector - No Compression - 1000,bytes,4800048
100000,Compressed Vector - dac_vector - 1000,bytes,1109542
100000,Compressed Vector - enc_vector_comma_2 - 1000,bytes,802284
100000,Compressed Vector - enc_vector_elias_delta - 1000,bytes,5289852
100000,Compressed Vector - enc_vector_elias_gamma - 1000,bytes,8797108
100000,Compressed Vector - enc_vector_fibonacci - 1000,bytes,6369180
100000,Compressed Vector - vlc_vector_comma_2 - 1000,bytes,1103486
100000,Compressed Vector - vlc_vector_elias_delta - 1000,bytes,986182
100000,Compressed Vector - vlc_vector_elias_gamma - 1000,bytes,1417958
100000,Compressed Vector - vlc_vector_fibonacci - 1000,bytes,1105838
100000,Compressed Vector Downsampler - EveryNthDownsampler - No Compression - 1000,bytes,48048
100000,Compressed Vector Downsampler - EveryNthDownsampler - dac_vector - 1000,bytes,11782
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_comma_2 - 1000,bytes,9908
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_elias_delta - 1000,bytes,42388
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_elias_gamma - 1000,bytes,70084
100000,Compressed Vector Downsampler - EveryNthDownsampler - enc_vector_fibonacci - 1000,bytes,51044
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_comma_2 - 1000,bytes,11198
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_elias_delta - 1000,bytes,10030
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_elias_gamma - 1000,bytes,14358
100000,Compressed Vector Downsampler - EveryNthDownsampler - vlc_vector_fibonacci - 1000,bytes,11230
100000,Compressed Vector Downsampler - LTTBDownsampler - No Compression - 1000,bytes,48048
100000,Compressed Vector Downsampler - LTTBDownsampler - dac_vector - 1000,bytes,12070
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_comma_2 - 1000,bytes,13076
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_elias_delta - 1000,bytes,41732
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_elias_gamma - 1000,bytes,68892
100000,Compressed Vector Downsampler - LTTBDownsampler - enc_vector_fibonacci - 1000,bytes,50244
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_comma_2 - 1000,bytes,11454
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_delta - 1000,bytes,10278
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_elias_gamma - 1000,bytes,14742
100000,Compressed Vector Downsampler - LTTBDownsampler - vlc_vector_fibonacci - 1000,bytes,11510
100000,Compressed Vector Downsampler - M4Downsampler - No Compression - 1000,bytes,31344
100000,Compressed Vector Downsampler - M4Downsampler - dac_vector - 1000,bytes,8014
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_comma_2 - 1000,bytes,7324
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_elias_delta - 1000,bytes,28940
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_elias_gamma - 1000,bytes,47732
100000,Compressed Vector Downsampler - M4Downsampler - enc_vector_fibonacci - 1000,bytes,34764
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_comma_2 - 1000,bytes,7494
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_elias_delta - 1000,bytes,6718
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_elias_gamma - 1000,bytes,9606
100000,Compressed Vector Downsampler - M4Downsampler - vlc_vector_fibonacci - 1000,bytes,7526
100000,Compressed Vector Downsampler - MinMaxDownsampler - No Compression - 1000,bytes,29712
100000,Compressed Vector Downsampler - MinMaxDownsampler - dac_vector - 1000,bytes,7734
100000,Compressed Vector Downsampler - MinMaxDownsampler - enc_vector_comma_2 - 1000,bytes,7652
100000,Compressed Vector Downsampler - MinMaxDownsampler - enc_vector_elias_delta - 1000,bytes,26668
100000,Compressed Vector Downsampler - MinMaxDownsampler - enc_vector_elias_gamma - 1000,bytes,43996
100000,Compressed Vector Downsampler - MinMaxDownsampler - enc_vector_fibonacci - 1000,bytes,32044
100000,Compressed Vector Downsampler - MinMaxDownsampler - vlc_vector_comma_2 - 1000,bytes,7222
100000,Compressed Vector Downsampler - MinMaxDownsampler - vlc_vector_elias_delta - 1000,bytes,6462
100000,Compressed Vector Downsampler - MinMaxDownsampler - vlc_vector_elias_gamma - 1000,bytes,9246
100000,Compressed Vector Downsampler - MinMaxDownsampler - vlc_vector_fibonacci - 1000,bytes,7254
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - No Compression - 1000,bytes,48048
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - dac_vector - 1000,bytes,12078
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - enc_vector_comma_2 - 1000,bytes,12924
100000,Compressed Vector Downsampler - MinMaxLTTBDownsampler - enc_vector_elias_delta - 1000,bytes,41580
