n_size,option,measurement_unit,mean
100000,Compressed Vector - No Compression,seconds,3.2493844628334043e-07
100000,Compressed Vector - dac_vector,seconds,0.30863992345208924
100000,Compressed Vector - enc_vector_comma_2,seconds,0.307569298800081
100000,Compressed Vector - enc_vector_elias_delta,seconds,0.3078983462881297
100000,Compressed Vector - enc_vector_elias_gamma,seconds,0.3084899427990119
100000,Compressed Vector - enc_vector_fibonacci,seconds,0.3217032322504868
100000,Compressed Vector - vlc_vector_comma_2,seconds,0.318817222584039
100000,Compressed Vector - vlc_vector_elias_delta,seconds,0.30729155979740125
100000,Compressed Vector - vlc_vector_elias_gamma,seconds,0.30561703694984316
100000,Compressed Vector - vlc_vector_fibonacci,seconds,0.313856400270015
100000,SDSL4PY Vector - No Compression,seconds,2.860712508360545e-07
100000,SDSL4PY Vector - dac_vector,seconds,0.03458180772140622
100000,SDSL4PY Vector - enc_vector_comma_2,seconds,0.036588305793702605
100000,SDSL4PY Vector - enc_vector_elias_delta,seconds,0.03458383527273933
100000,SDSL4PY Vector - enc_vector_elias_gamma,seconds,0.0353518546714137
100000,SDSL4PY Vector - enc_vector_fibonacci,seconds,0.03981461610334615
100000,SDSL4PY Vector - vlc_vector_comma_2,seconds,0.035832211111361784
100000,SDSL4PY Vector - vlc_vector_elias_delta,seconds,0.03518930979383488
100000,SDSL4PY Vector - vlc_vector_elias_gamma,seconds,0.03588341452802221
100000,SDSL4PY Vector - vlc_vector_fibonacci,seconds,0.03540927520953119
10000,Compressed Vector - No Compression,seconds,1.808783660332362e-07
10000,Compressed Vector - dac_vector,seconds,0.029818426786611476
10000,Compressed Vector - enc_vector_comma_2,seconds,0.02953583017612497
10000,Compressed Vector - enc_vector_elias_delta,seconds,0.0294732209139814
10000,Compressed Vector - enc_vector_elias_gamma,seconds,0.02996937728797396
10000,Compressed Vector - enc_vector_fibonacci,seconds,0.031085060987000663
10000,Compressed Vector - vlc_vector_comma_2,seconds,0.030642786901444195
10000,Compressed Vector - vlc_vector_elias_delta,seconds,0.029601669497787954
10000,Compressed Vector - vlc_vector_elias_gamma,seconds,0.029492115943382184
10000,Compressed Vector - vlc_vector_fibonacci,seconds,0.030016915826126932
10000,SDSL4PY Vector - No Compression,seconds,1.7227915426095326e-07
10000,SDSL4PY Vector - dac_vector,seconds,0.002691120545690258
10000,SDSL4PY Vector - enc_vector_comma_2,seconds,0.002765033192311724
10000,SDSL4PY Vector - enc_vector_elias_delta,seconds,0.002774579497054219
10000,SDSL4PY Vector - enc_vector_elias_gamma,seconds,0.002963122446089983
10000,SDSL4PY Vector - enc_vector_fibonacci,seconds,0.003215228347107768
10000,SDSL4PY Vector - vlc_vector_comma_2,seconds,0.0027974191897859177
10000,SDSL4PY Vector - vlc_vector_elias_delta,seconds,0.0028489495161920786
10000,SDSL4PY Vector - vlc_vector_elias_gamma,seconds,0.002771371960019072
10000,SDSL4PY Vector - vlc_vector_fibonacci,seconds,0.002777860779315233
200000,Compressed Vector - No Compression,seconds,3.0462009211381275e-07
200000,Compressed Vector - dac_vector,seconds,0.6254038498426477
