n_size,option,measurement_unit,mean
100000,Altair Line Plot,kilobytes,175.8505859375
100000,MatPlotlib Line Plot,kilobytes,468.8828125
100000,Plotly Line Plot,kilobytes,152.392578125
100000,Pygal Line Plot,kilobytes,31.4775390625
10000,Altair Line Plot,kilobytes,163.2724609375
10000,MatPlotlib Line Plot,kilobytes,418.7958984375
10000,Plotly Line Plot,kilobytes,127.333984375
10000,Pygal Line Plot,kilobytes,12.5078125
200000,Altair Line Plot,kilobytes,175.8505859375
200000,MatPlotlib Line Plot,kilobytes,468.15625
200000,Plotly Line Plot,kilobytes,152.3154296875
200000,Pygal Line Plot,kilobytes,32.658203125
300000,Altair Line Plot,kilobytes,175.8505859375
300000,MatPlotlib Line Plot,kilobytes,461.4912109375
300000,Plotly Line Plot,kilobytes,152.2001953125
300000,Pygal Line Plot,kilobytes,31.4775390625
50000,Altair Line Plot,kilobytes,175.8505859375
50000,MatPlotlib Line Plot,kilobytes,468.2958984375
50000,Plotly Line Plot,kilobytes,152.35546875
50000,Pygal Line Plot,kilobytes,31.4775390625
